Year,FLOOR,TIMESLOT,Number_of_People
2019,2,13:00,39.65384615384615
2019,2,14:00,38.16
2019,2,15:00,44.19230769230769
2019,2,16:00,44.44
2019,2,17:00,44.142857142857146
2019,2,18:00,25.25
2019,2,19:00,26.0
2019,3,09:00,39.705882352941174
2019,3,10:00,39.705882352941174
2019,3,11:00,45.107142857142854
2019,3,12:00,44.869565217391305
2019,3,13:00,43.77777777777778
2019,3,14:00,40.38461538461539
2019,3,15:00,43.375
2019,3,16:00,40.31818181818182
2019,3,17:00,42.89473684210526
2019,3,18:00,94.0
2019,3,18:30,19.0
2019,3,19:30,19.0
2019,3,20:30,19.0
2019,4,09:00,39.064516129032256
2019,4,10:00,39.40625
2019,4,11:00,41.84615384615385
2019,4,12:00,37.47826086956522
2019,4,13:00,38.76
2019,4,14:00,41.26086956521739
2019,4,15:00,38.333333333333336
2019,4,16:00,39.22222222222222
2019,4,17:00,42.375
2019,4,18:00,51.333333333333336
2019,5,09:00,20.852941176470587
2019,5,10:00,20.852941176470587
2019,5,11:00,19.6875
2019,5,12:00,22.16216216216216
2019,5,13:00,24.485714285714284
2019,5,14:00,23.135135135135137
2019,5,15:00,21.375
2019,5,16:00,21.11764705882353
2019,5,17:00,20.77777777777778
2019,5,18:00,16.0
2019,5,19:00,17.0
2021,0,09:20,41.0
2021,0,10:10,41.0
2021,0,11:00,41.0
2021,1,08:30,24.923076923076923
2021,1,09:20,24.923076923076923
2021,1,10:10,27.5
2021,1,11:00,39.666666666666664
2021,1,11:50,31.636363636363637
2021,1,12:40,31.727272727272727
2021,1,13:30,37.27272727272727
2021,1,14:20,39.09090909090909
2021,1,15:10,34.142857142857146
2021,1,16:00,22.4
2021,1,16:50,23.714285714285715
2021,1,17:40,22.3
2021,1,18:30,16.25
2021,1,19:20,7.333333333333333
2021,1,20:10,4.0
2021,2,08:30,22.842105263157894
2021,2,09:20,23.85
2021,2,10:10,23.642857142857142
2021,2,11:00,25.157894736842106
2021,2,11:50,24.266666666666666
2021,2,12:40,19.88235294117647
2021,2,13:30,29.736842105263158
2021,2,14:20,37.57142857142857
2021,2,15:10,28.272727272727273
2021,2,16:00,20.785714285714285
2021,2,16:50,21.916666666666668
2021,2,17:40,24.75
2021,2,18:30,20.25
2021,2,19:20,15.285714285714286
2021,2,20:10,8.5
2021,3,08:30,26.6
2021,3,09:20,27.904761904761905
2021,3,10:10,29.333333333333332
2021,3,11:00,30.375
2021,3,11:50,20.944444444444443
2021,3,12:40,14.75
2021,3,13:30,20.473684210526315
2021,3,14:20,27.823529411764707
2021,3,15:10,26.875
2021,3,16:00,19.9
2021,3,16:50,15.6
2021,3,17:40,18.8
2021,3,18:30,17.583333333333332
2021,3,19:20,15.333333333333334
2021,3,20:10,15.333333333333334
2021,4,08:30,22.285714285714285
2021,4,09:20,22.285714285714285
2021,4,10:10,25.76923076923077
2021,4,11:00,27.166666666666668
2021,4,11:50,25.8
2021,4,12:40,24.1
2021,4,13:30,32.714285714285715
2021,4,14:20,37.0
2021,4,15:10,27.444444444444443
2021,4,16:00,21.875
2021,4,16:50,24.666666666666668
2021,4,17:40,20.333333333333332
2021,4,18:30,19.46153846153846
2021,4,19:20,17.0
2021,4,20:10,9.0
2021,5,08:30,20.78125
2021,5,09:20,21.0
2021,5,10:10,9.5
2021,5,11:00,9.785714285714286
2021,5,11:50,11.9
2021,5,12:40,12.555555555555555
2021,5,13:30,9.1
2021,5,14:20,9.714285714285714
2021,5,15:10,11.0
2021,5,16:00,11.285714285714286
2021,5,16:50,12.0
2021,5,17:40,16.076923076923077
2021,5,18:30,14.904761904761905
2021,5,19:20,13.4
2021,5,20:10,11.166666666666666
2022,0,08:30,68.5
2022,0,09:25,72.33333333333333
2022,0,10:20,66.2
2022,0,11:15,68.75
2022,0,12:10,66.75
2022,0,13:05,52.25
2022,0,14:00,67.0
2022,0,14:55,75.0
2022,0,15:50,66.25
2022,0,16:45,46.5
2022,1,08:30,45.6
2022,1,09:25,43.333333333333336
2022,1,10:20,46.0
2022,1,11:15,43.1764705882353
2022,1,12:10,34.76923076923077
2022,1,13:05,34.45
2022,1,14:00,32.25
2022,1,14:55,30.904761904761905
2022,1,15:50,29.5
2022,1,16:45,22.0
2022,1,17:40,19.5
2022,1,18:35,16.0
2022,1,19:30,13.0
2022,1,20:25,14.0
2022,2,08:30,26.535714285714285
2022,2,09:25,26.0
2022,2,10:20,27.357142857142858
2022,2,11:15,33.96551724137931
2022,2,12:10,31.17241379310345
2022,2,13:05,31.74074074074074
2022,2,14:00,31.275862068965516
2022,2,14:55,34.10344827586207
2022,2,15:50,35.55555555555556
2022,2,16:45,32.285714285714285
2022,2,17:40,30.0
2022,2,18:35,26.333333333333332
2022,2,19:30,31.5
2022,3,08:30,32.75
2022,3,09:25,32.03225806451613
2022,3,10:20,29.29032258064516
2022,3,11:15,24.375
2022,3,12:10,21.653846153846153
2022,3,13:05,25.962962962962962
2022,3,14:00,26.166666666666668
2022,3,14:55,31.041666666666668
2022,3,15:50,34.26086956521739
